"# of Use","# de Uso"
"%s Item(s)","%s Item(s)"
"(Will make search for the query above return results for this search.)","(Ao fazer a busca para a query acima retornará os resultados para esta busca.)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"-- Please Select --","-- Por favor Selecione --"
"Action","Ação"
"Add Design Change","Adicionar Alteração de Design "
"Add to Cart","Adicionar ao Carrinho"
"Add Attribute","Adicionar Atributo"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add to My Wishlist","Adicionar à Minha Lista de Desejos"
"Add Tier","Adicionar Camada"
"Add Group","Adicionar Grupo"
"Add Items to Cart","Adicionar Itens ao Carrinho"
"Add New Images","Adicionar Novas Imagens"
"Add New","Adicionar Novo"
"Add New Attribute Set","Adicionar Novo Atributo"
"Add New Attribute","Adicionar Novo Atributo "
"Add New Set","Adicionar Novo Conjunto"
"Add New Group","Adicionar Novo Grupo"
"Add New Search Term","Adicionar Novos Termos de Busca"
"Add Option","Adicionar Opção"
"Add to Compare","Adicionar para Comparação"
"Add Product","Adicionar Produto"
"Add Recipient","Adicionar Recipiente"
"Add Product To Websites","Adicionar Produto para Websites"
"Prev","Ant"
"Products only","Apenas produtos"
"Apply To","Aplicar Para"
"Apply To Configurable/Grouped Product","Aplicar para Produto Configurável/Agrupado"
"Approved","Aprovado"
"Are you sure you would like to remove all item from compare products?","Você tem certeza que deseja remover todos os itens da comparação de produtos?"
"Are you sure you would like to remove this item from the compare products?","Você tem certeza que deseja remover esse item da comparação de produtos?"
"Array of Entity collections is expected","Vetor de coleções de Entidades é esperado"
"Attributes","Atributos"
"Attrib. Set Name","Nome do Conjunto de Atributos"
"Attribute Set","Conjunto de Atributos"
"Zoom In","Aumentar"
"Autogenerate","Auto-geração"
"Availability: In stock.","Disponibilidade: Em estoque."
"Back","Voltar"
"Backend Model","Modelo de Backend"
"Backend Table","Tabela de Backend"
"Backend Table Title","Título da Tabela de Backend"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Diretório base para upload de imagem não está especificado"
"Based On","Based On"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas bloco estático"
"Invalid block: %s","Bloco inválido: %s"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Bundle","Bundle"
"Buy %s for %s","Comprar %s para %s"
"Buy %s for %s each","Comprar %s para <strong>%s cada</strong>"
"Can be used only with catalog input type Dropdown","Pode ser usado apenas para catálogo com input Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado apenas para catálogo com input Dropdown, Select Múltiplo e Preço"
"Cart Item Attribute","Atributo do Item do Carrinho"
"Catalog","Catálogo"
"Catalog Input Type for Store Owner","Tipo de Input de catálogo para Dono de Loja"
"Catalog Price Scope","Escopo do Preço do Catálogo"
"Catalog Searches","Pesquisas de Catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Category","Categoria"
"Categories","Categorias"
"Categories Sitemap","Categorias de Sitemap"
"Category Data","Dados da categoria"
"Category delete error","Erro de deleção da categoria"
"Category deleted","Categoria apagada"
"Category move error","Erro em mover a categoria"
"Category Navigation:","Navegação da categoria:"
"Category Products","Produtos da Categoria"
"Category saved","Categoria salva"
"Attribute Code","Código do Atributo "
"Change","Alterar"
"Change status","Alterar status"
"Check items to add to the cart or ","Cheque itens para adicionar ao carrinho ou "
"Clean boot cut women's business pant","Limpo bota corte mulher negócio calça"
"Close Window","Fechar Janela"
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Front-end"
"Compare Items","Comparar Itens"
"Compare Products List","Comparar Lista de Produtos"
"Compare Products","Comparar Produtos"
"Compare list successfully cleared","Lista de comparação limpa com sucesso"
"Compare Products - %d Items","Compare Produtos <span class=""count"">- %d Itens</span>"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Configurações de Produtos Configurável"
"Continue","Continuar"
"Copy From Configurable","Copiar do Configurável"
"Create Empty","Criar Vazio"
"Create Product Settings","Criar Configurações de Produto"
"Create Simple Associated Product","Criar Produto de Associação Simples"
"Cross-sell Products","Produtos de Venda Cruzada"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by","No momento comprando de"
"Custom Design","Design Customizável"
"Customer Group","Grupo de Clientes"
"Customer Reviews","Opinião do Cliente"
"Customers for alert %s was successfuly added to queue","Cliente para o alerta %s foi adicionado a fila"
"Customers Reviews","Opinião de Clientes"
"Customers Tagged Product","Produto Tagueado pelos Clientes"
"Data Type for Saving in Database","Tipo de Dado para Salvar no Banco de Dados"
"Date","Data"
"Date Subscribed","Data de Inscrição"
"Datetime","Datetime"
"Decimal","Decimal"
"Decimal Number","Número Decimal"
"Declare attribute value saving scope","Declarar valor do atributo salvando escopo"
"Default price","Preço padrão"
"Default Qty","Quantidade Padrão"
"Default Tax Class","Classe de Taxa Padrão"
"Default value","Valor padrão"
"Default Values","Valores Padrão"
"Delete","Apagar"
"Delete Attribute","Apagar Atributo"
"Delete Attribute Set","Apagar Conjunto de Atributos"
"Delete Category","Apagar Categoria"
"Delete Option","Apagar Opção"
"Delete Search","Apagar Pesquisa"
"Delete Selected Group","Apagar Grupos Selecionados"
"Product Description","Descrição do Produto"
"Design","Design"
"Disabled","Desabilitado"
"Discount","Desconto"
"Display in Suggested Terms","Mostrar nos Termos Sugeridos"
"Availability: In stock. Ships within 24 hours.","Disponibilidade: Em estoque. Entrega dentro de 24 horas."
"Availability: Out of stock.","Disponibilidade: Esgotado."
"Double click on a group to rename it","Duplo clique em um grupo para renomeá-lo"
"Dropdown","Dropdown"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar preço diferenciado do website do grupo de usuários e quantidade."
"and","e"
"and above","e acima "
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar Atributo do Produto"
"Edit Product Attribute ""%s""","Editar Atributo do Produto ""%s"""
"Edit Search","Editar Pesquisa"
"Edit Search '%s'","Editar Pesquisa '%s'"
"Email","Email"
"Email Address","Endereço de Email"
"Email Address:","Endereço de Email:"
"Email to a Friend","Enviar para um Amigo"
"Email:","Email:"
"Empty","Vazio"
"Enabled","Habilitado"
"Entity collection is expected","Coleção de entidade é esperada"
"Error during retrieval of option value: %s","Erro durante a recuperação do valor: %s"
"Error while adding customers for %s alert. Message: %s","Erro adicionando o cliente para %s alerta. Mensagem: %s"
"Error while saving this group. Group with the same name already exists.","Erro salvando esse grupo. Grupo com o mesmo nome já existe."
"Error while saving this group. Please try again later.","Erro salvando esse grupo. Por favor tente novamente."
"Choose an Option...","Escolha uma Opção..."
"Product Attribute Specs","Especificações do Atributo do Produto"
"This bundle is out of stock.","Este pacote está esgotado."
"ex. http://domain.com","ex. http://domain.com"
"Exclude","Excluir"
"Quick Overview","Descrição Rápida"
"Failed","Falhou"
"Failed to move file: %s","Falhou ao mover o arquivo: %s"
"Feature Products","Produtos em Destaque"
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Filtrável (com resultados)"
"Filter must be as object. Set correct filter please","Filtro deve ser como objeto. Selecione o filtro correto por favor"
"Filters must be as array","Filtros devem ser como vetores"
"First Name","Primeiro"
"Fixed","Arrumado"
"For internal use. Must be unique with no spaces","Para uso interno. Precisa ser único sem espaços"
"Out of Stock","Esgotado"
"Frontend","Frontend"
"Frontend Model","Modelo de Frontend"
"Frontend Properties","Propriedades de Frontend"
"Gallery","Galeria"
"General Information","Informações Gerais"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Grid","Grid"
"Grouped Product","Produtos Agrupados"
"Groups","Grupos"
"ID","ID"
"Attribute Identifier","Identificador do Atributo"
"If you do not specify an option value for a store then the default value will be used.","Se você não especificar uma opção de valor para uma loja então o valor padrão será usado."
"Image file not found","Arquivo da imagem não encontrado"
"Image not exists","Imagem não existe"
"Image type and information need to be specified for each store view.","Tipo de imagem e informação precisa ser especificada para cada visão de loja."
"Image","Imagem"
"Print This Page","Imprimir esta Página"
"In stock","Em estoque"
"In Stock","Em estoque"
"Attribute Information","Informação de Atributo"
"Additional Information","Informações Adicionais "
"Input Validation for Store Owner","Validação de Imput para Dono da Loja"
"Integer","Inteiro"
"Integer Number","Número Inteiro"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida especificada para o atributo %s (%s), parando a gravação"
"Invalid attribute set specified, skipping the record","Conjunto de atributos inválido, parando a gravação"
"Invalid category IDs","IDs de categoria inválidos"
"Invalid image file type","Tipo de imagem inválido"
"Invalid option id specified for %s (%s), skipping the record","Opção de id invalida para %s (%s), parando a gravação"
"Invalid product type specified, skipping the record","Tipo de produto inválido, parando a gravação"
"Invalid store specified","A loja especificada é inválida"
"Invalid store specified, skipping the record","A loja especificada é inválida, parando a gravação"
"Inventory","Inventário"
"Is Default","É Padrão"
"Items %s to %s of %s total","Itens <strong>%s</strong> para <strong>%s</strong> de <strong>%s</strong> total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que você deseja exibir no catálogo ou nos resultados de pesquisa devem estar com o status “Desativado” na loja desejada"
"Attribute with the same code already exists","Já existe atributo com o mesmo código "
"Kamper state-of-art Extra Comfort runners","Kamper estado-da-arte Extra Conforto corredores"
"Label","Etiqueta"
"Last Name","Último Nome"
"Last Notification","Última Notificação"
"Learn More","Leia Mais"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras(a-zA-Z) ou Números(0-9)"
"Clear All Items","Limpar Todos os Itens"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"List Mode","Modo de Listagem"
"List","Lista"
"More Views","Mais Visualizações"
"Manage Attribute Sets","Gerenciar Grupo de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Categoria de Catálogo"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Etiqueta / Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores de seu atributo)"
"Manage Product Attributes","Gerenciar Atributos de Produto"
"Manage Product Sets","Gerenciar Grupos de Produtos"
"Manage Products","Gerenciar Produtos"
"Manage Ratings","Gerenciar Votos"
"Manage Titles (Size, Color, etc.)","Gerenciar (Tamanho, Cor, etc.)"
"Maximum %d email addresses allowed.","Máximo %d endereço de email permitida."
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Media Image","Imagem de Media"
"Best Value","Melhor Preço"
"Message:","Mensagem:"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Minimum Qty for Item's Status to be Out of Stock","Quantidade Mínima de Itens para o Status Ser Esgotado"
"Missing SKU, skipping the record","SKU perdido, parando gravação"
"Attribute model not defined","Modelo de Atributo não definido"
"Attribute Model","Modelo do Atributo"
"Show","Mostrar"
"Multiple Select","Seleção Múltipla"
"There are no products matching the selection.","Não foram encontrados produtos com essa seleção."
"Name In %s","Nome No %s"
"Name:","Nome:"
"Name<br/>(For internal use)","Nome<br/>(Para uso interno)"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"New Category","Nova Categoria"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Search","Nova Pesquisa"
"New Set Name","Novo Grupo de Nomes"
"No","Não"
"No image","Sem Imagem"
"No product collections found","Nenhuma coleção de produtos foi encontrada"
"Name","Nome"
"Attribute Name:","Nome do Atributo:"
"Filter model name must be declared","Nome do modelo de filtro deve ser declarado"
"Product Name","Nome do Produto"
"None","Nada"
"Not shared with other products","Não compartilhado com outros produtos"
"Notify for Quantity Below","Notifique para Quantidade baixa"
"Notify Low Stock RSS","Notificação de Estoque Baixo em RSS"
"Nowhere","Em nenhum país"
"Number of results<br/>(For last time placed)","Número de resultados<br/>(Pela última vez colocados)"
"Number of Uses","Número de Usos"
"A name is required","Um nome é obrigatório"
"Choose option...","Escolha uma opção..."
"Shopping Options","Opções de Compra"
"Option","Opção"
"Option:","Opção:"
"Options","Opções"
"Options Control","Opções de Controle"
"Options is required","Opções são obrigatórias"
"OR","OR"
"Sort by","Ordenado por"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Nosso serviço de atendimento está disponível 24 horas. Ligue-nos pelo número (11) 21220231"
"Out of stock","Esgotado"
"Out of stock.","Esgotado."
"Page:","Página"
"Page Title Separator","Separados de Título da Página"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 High Definition Camcorder"
"Parent Category","Categoria Pai"
"Pending","Pendente"
"Pending Reviews","Opiniões Pendentes"
"Pending Reviews RSS","Opiniões Pendentes RSS"
"Percentage","Porcentagem"
"Browse By","Pesquisa por"
"Please add one or more options","Por favor adicione uma ou mais opções"
"Please click on Close Window button if it won't be closed automatically","Por favor clique no botão de Fechar a Janela se ela não fechar automaticamente"
"Please enter a new group name","Por favor coloque um novo nome para o grupo"
"Please select one or more attributes.","Por favor selecione um ou mais atributos."
"Please select product(s)","Por favor selecione o(s) produto(s)"
"Please select products for attributes update","Por favor selecione produtos para atualizações de atributos"
"Please select static block ...","Por favor selecione bloco estático ..."
"per page","por página"
"Position","Posição"
"Position In Layered Navigation","Posição na Navegação por Camadas"
"Position of attribute in layered navigation block","Posição do atributo na navegação por camadas"
"Next","Próximo"
"Price","Preço"
"Old Price:","Preço Antigo"
"Special Price:","Preço Especial:"
"Regular Price:","Preço Regular:"
"Prices","Preços"
"Previous","Anterior"
"Price values for options should be specified in system base currency.","Valores de preço para opções devem ser especificadas na moeda base do sistema"
"Price:","Preço:"
"Home","Principal"
"Problem saving the collection, aborting. Error: %s","Problema salvando a coleção, abortando. Error: %s"
"Product %s successfully added to compare list","Produto %s foi adicionado a lista de comparação"
"Product %s successfully removed from compare list","Produto %s foi removido da lista de comparação"
"Product Alerts","Alerta de Produto"
"Product Attribute","Atributo do Produto"
"Product Attribute Sets","Grupo de Atributo do Produto"
"Product attribute was successfully deleted","Atributo do produto foi removido"
"Product attribute was successfully saved","Atributo do produto foi salvo"
"Product Attributes","Atributos do Produto"
"Product Categories","Categorias do Produto"
"Product collection expected","Coleção de produto esperada"
"Product deleted","Produto apagado"
"Product duplicated","Produto duplicado"
"Product Image Placeholders","Placeholders da Imagem do Produto"
"Product Image Watermarks","Marca D'água da Imagem do Produto"
"Product In Websites","Produto nos Websites"
"Product Information","Informação do Produto"
"Product Options","Opções do Produto"
"Product Reviews","Opiniões dos Produtos"
"Product saving error.","Erro no salvamento do produto."
"Product Tags","Tags do Produto"
"Product Type","Tipo do Produto"
"Product URL Suffix (cache refresh needed)","Sufixo da URL do Produto (necessária atualização do cache)"
"Product was successfully created.","Produto foi criado."
"Product was successfully saved.","Produto foi salvo."
"Product with this combination of attributes already associated to configurable.","Produtos com essa combinação de atributos já é associado a configurável."
"Products","Produtos"
"Products Information","Informação dos Produtos"
"Products per Page on Grid default value","Produtos por Página no valor oadrão de Grid"
"Products per Page on List default value","Produtos por Página no valor oadrão de Lista"
"Products Reviews","Opiniões de Produtos"
"Products Sitemap","Sitemap dos Produtos"
"Associated Products","Produtos Associados "
"Best Selling Products","Produtos mais Vendidos"
"Related Products","Produtos Relacionados"
"Properties","Propriedades"
"Attribute Properties","Propriedade dos Atributos"
"Qty","Qtde"
"Qty Uses Decimals","Qty usa Decimais"
"Quick Create","Criação Rápida"
"Quick simple product creation","Criação rápida de um produto simples"
"Attribute Label","Etiqueta do Atributo"
"Recipient:","Receptor:"
"Records for ""","Gravado para """
"Redirect","Redirecionar"
"Redirect URL","URL de Redirecionamento"
"Zoom Out","Reduzir"
"Remove","Remover"
"Remove Email","Remover Email"
"Remove Product From Websites","Remover Produtos dos Websites"
"Remove This Item","Remover este item"
"Remove Product","Remover Produto"
"Required","Obrigatório"
"Reset","Redefinir"
"Results","Resultados"
"Review successfully deleted","Opinião apagada"
"Review was saved successfully","Opinião salva"
"Review was successfully saved","Opinião salva"
"Reviews","Opiniões"
"Reviews and Ratings","Opiniões e Avaliações"
"Roll Over for preview","Roll Over para preview"
"Root","Root"
"Sandra Mashiso Red Business shoes","Sandra Mashiso Red Business shoes"
"Save","Salvar"
"save %s%%","salvar %s%%"
"Save And Continue Edit","Salvar e Continuar Editando"
"Save Attribute","Salvar Atributo"
"Save Attribute Set","Salvar Conjunto de Atributo"
"Save Category","Salvar Categoria"
"Save Search","Salvar Pesquisa"
"Saved ","Salvado"
"Scope","Escopo"
"Search","Pesquisa por"
"Search Engine Optimizations","Search Engine Optimizations"
"Search Information","Informação de Pesquisa"
"Search Query","Query de Pesquisa"
"Search Term was successfully saved","Termo de Pesquisa foi salvo com sucesso"
"Search Term with such search query already exist.","Termos de Pesquisa com tal query já existe."
"Search was successfully deleted","Pesquisa foi deletada com sucesso"
"Searchable","Procurável"
"select all","selecione tudo"
"Select Configurable Attributes ","Selecione Atributos Configuráveis"
"Selected Product Types","Tipos de Produtos Selecionados"
"No layout updates","Sem atualizações no layout"
"Send Count","Enviar Conta"
"Send email","Enviar email"
"Sender:","Remetente:"
"Set Ascending Direction","Definir Direção Ascendente"
"Set Descending Direction","Definir Direção Descendente"
"Set Name","Definir Nome"
"Set Root Category For Store","Definir Categoria Root para a Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Definir categoria root para essa loja na <a href=""%s"">configuração</a>"
"Settings","Configurações"
"Shop by","Compre Também"
"Simple Product","Produto Simples"
"Site Map","Site Map"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pular linha importante, o valor “%s” não é válido para o campo “%s”"
"Skip import row, required field ""%s"" for new customer not defined","Pular linha importante, o campo “%s” é obrigatório para novos usuários e está indefinido"
"Skip import row, required field ""%s"" for new products not defined","Pular linha importante, o campo “%s” é obrigatório para novos produtos e está indefinido"
"Skip import row, required field ""%s"" not defined","Pular linha importante, o campo “%s” é obrigatório e está indefinido"
"Skip import row, store ""%s"" field not exists","Pular linha importante, o campo da loja “%s” não existe"
"SKU","SKU"
"Sort Order","Ordem de Ordenação"
"Source Model","Modelo Fonte"
"Special Price","Preço Especial"
"Starting at:","A partir de:"
"Static","Estático"
"Status","Status"
"Stock Availability","Disponibilidade de Estoque"
"Store","Loja"
"Store View","Visão da Loja"
"Stretch","Esticar"
"Subscribe to Feed","Inscrever-se no Feed"
"Subscribe to RSS Feed","Inscrever-se no RSS"
"Super product attributes configuration","Configuração de atributos de super produtos"
"Synonym For","Sinônimo Para"
"Synonym for","Sinônimo Para"
"System","Sistema"
"System Properties","Propriedade do Sistema"
"Tag Name","Nome da Tag"
"As low as:","Tão baixo quanto:"
"Text","Texto"
"Text Area","Área de Texto"
"Text Field","Campo de texto"
"The information in this tab has been changed.","A informação nessa aba foi alterada"
"There are no %s available.","Não há %s disponível"
"There are no customers for this alert","Não há clientes para esse alerta"
"There is %d product(s) that will be not updated for selected store","Há %d produto(s) que não foi(rão) atualizado(s) para a loja selecionada"
"There was an error while adding products to websites","Houve um erro ao adicionar produtos aos websites"
"There was an error while removing products from websites","Houve um erro ao remover produtos dos websites"
"There was an error while updating product(s) attributes","Houve um erro ao atualizar atributos do(s) produto(s)"
"This attribute no longer exists","Esse atributo não existe mais"
"This group contains system attributes. Please move system attributes to another group and try again.","Esse grupo contém atributos do sistema. Por favor mova os atributos do sistema para outro grupo e tente novamente."
"This search no longer exists","Esse pesquisa não existe mais"
"This tab contains invalid data. Please solve the problem before saving.","Essa aba contém dados inválidos. Por favor resolva o problema antes de salvar."
"Tier Pricing","Preço Diferenciado"
"Tile","Título"
"All Reviews","Todas Opiniões"
"All","Todos"
"ALL GROUPS","TODOS GRUPOS"
"All Product Types","Todos Tipos de Produtos"
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"Total of %d record(s) were successfully deleted","Total de %d item(s) foram apagado(s) com suceso"
"Total of %d record(s) were successfully updated","Total de %d item(s) foram atualizado(s) com suceso"
"Type","Tipo"
"Unable to complete request. Please try again later.","Não foi possível completar a requisição. Por favor tente novamente mais tarde."
"Unable to find a search term to delete","Não foi possível encontrar um termo de pesquisa para apagar"
"Unable to find an attribute to delete","Não foi possível encontrar um atributo para apagar"
"Unable to get product id.","Não foi possível pegar um ID de produto"
"Unassigned Attributes","Atributos não Atribuídos"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhável com outros produtos)"
"Unknown attribute: %s","Atributo desconhecido: %s"
"unselect all","limpar a seleção"
"Up-sells","Vendas Agregadas"
"Update attributes","Atualizar atributos"
"Url","Url"
"Url Rewrite Management","Gerenciamento de Url Rewrite"
"Use categories path for product URLs","Usar caminho de categorias para URLs do produto"
"Use Config Settings","Usar as Configurações do Config"
"Use Default Value","Usar Valor Padrão"
"Use in advanced search","Usar em pesquisa avançada"
"Use In Layered Navigation","Usar em Navegação por Camadas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar em Navegação por Camadas<br/>(Pode ser usada somente com o tipo de entrada do catálogo 'Dropdown')"
"Use in quick search","Usar em pesquisa rápida"
"Use To Create Configurable Product","Usar para Criar Produtos Configuráveis"
"Go to Home Page","Vai para Página Principal"
"Values Required","Valores Requeridos"
"Varchar","Varchar"
"See all %s","Ver todos %s"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas Páginas do catálogo no Front-end"
"View as","Visualizar como"
"View Details","Visualizar Detalhes"
"You have no items to compare.","Você não tem itens para comparar."
"Are you sure you want to delete this attribute set?","Você tem certeza que deseja apagar este conjunto de atributos?"
"Are you sure you want to delete this category?","Você tem certeza que deseja apagar esta categoria?"
"Are you sure?","Você tem certeza?"
"Watermark","Marca D'água"
"Watermark Default Size","Tamanho Padrão de Marca D'água"
"Watermark Position","Posição da Marca D'água"
"Website","Website"
"Websites","Websites"
"Yes","Sim"
"Yes/No","Sim/Não"
"You cannot delete this attribute","Você não pode apagar esse atributo"
"You cannot edit this attribute","Você não pode editar esse atributo"
"You cannot remove system attribute from this set.","Você não pode remover atributos de sistema desse conjunto"
"You cannot update this attribute","Você não pode atualizar esse atributo"
"You may also be interested in the following product(s)","Você pode também estar interessado nos seguinte produtos"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19-inch LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24-inch LCD monitor"
"[GLOBAL]","[GLOBAL]"
