"The page you are trying to save no longer exists","A página que você está tentando gravar não existe mais"
"From Date","A partir da Data"
"Actions","Ações"
"Add New Rule","Acrescentar Nova Regra"
"Delete Rule","Apagar Regra"
"Apply Rules","Aplicar Regra"
"Active","Ativo"
"Product Attribute","Atributos do Produto"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Catalog","Catálogo"
"Category","Categoria"
"Customer is new buyer: %s","Cliente um novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Conditions Combination","Combinação de Condições "
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Credit Memos","Memorando de Crédito"
"Order Credit Memos","Memorando de Crédito do Pedido"
"Date From","Data De"
"Date Expire","Data de Expiração"
"Date Start","Data de Início"
"Date To","Data Para"
"Attribute Set","Definições de Atributo"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Shipments","Envios"
"Order Shipments","Envios de Pedidos"
"This rule no longer exists","Esta regra não existe mais"
"Expire at: %s","Expira em: %s"
"Invoices","Faturas"
"Order Invoices","Faturas dos Pedidos"
"Save and Apply","Gravar e Aplicar "
"Save Rule","Gravar Regra "
"Customer Groups","Grupos de Clientes"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Há regras que foram alteradas mas não aplicadas. Para ver imediatamente o efeito no catálogo, por favor clique Aplicar Regras"
"Comments History","Histórico de Comentários"
"Order History","Histórico de Pedidos"
"ID","ID"
"Unable to apply rules","Não foi possível aplicar regra"
"Unable to find a page to delete","Não foi possível encontrar uma página para apagar"
"Inactive","Inativo"
"Rule Information","Informações da Regra "
"General Information","Informações Gerais"
"Start at: %s","Início em: %s"
"Gift Messages","Mensagens do Presente"
"Order Gift Messages","Mensagens dos Presentes do Pedido"
"No","Não"
"NOT LOGGED IN","NÃO CONECTADO"
"Rule Name","Nome da Regra"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"Options","Opções"
"To Date","Para Data"
"Stop further rules processing","Parar processamento de demais regras"
"Priority","Prioridade"
"Promotions","Promoções"
"Catalog Price Rule","Regra de Preço do Catálogo"
"Rule was successfully deleted","Regra foi apagada com sucesso"
"Rule was successfully saved","Regra foi gravada com sucesso"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Rules were successfully applied","Regras foram aplicadas com sucesso"
"Yes","Sim"
"Status","Status"
"Websites","Websites"